AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2022;6;Málaga;Asia;Singapur;137,0;1123,0;8,2
2022;6;Málaga;Asia;Tailandia;195,0;917,0;4,7
2022;6;Málaga;Asia;Vietnam;31,0;174,0;5,6
2022;6;Málaga;Europa;Albania;83,0;647,0;7,8
2022;6;Málaga;Europa;Alemania;32305,0;313359,0;9,7
2022;6;Málaga;Europa;Andorra;87,0;809,0;9,3
2022;6;Málaga;Europa;Austria;4061,0;35331,0;8,7
2022;6;Málaga;Europa;Belarús;150,0;1290,0;8,6
2022;6;Málaga;Europa;Bulgaria;1416,0;9062,0;6,4
2022;6;Málaga;Europa;Bélgica;26105,0;201009,0;7,7
2022;6;Málaga;Europa;Chipre;76,0;547,0;7,2
2022;6;Málaga;Europa;Croacia;307,0;2026,0;6,6
2022;6;Málaga;Europa;Dinamarca;15347,0;124311,0;8,1
2022;6;Málaga;Europa;Eslovenia;168,0;1075,0;6,4
2022;6;Málaga;Europa;Estonia;1243,0;11933,0;9,6
2022;6;Málaga;Europa;Finlandia;9026,0;83039,0;9,2
2022;6;Málaga;Europa;Francia;30693,0;257821,0;8,4
2022;6;Málaga;Europa;Georgia;87,0;566,0;6,5
2022;6;Málaga;Europa;Grecia;597,0;3821,0;6,4
2022;6;Málaga;Europa;Hungría;2053,0;14576,0;7,1
2022;6;Málaga;Europa;Irlanda;36096,0;281549,0;7,8
2022;6;Málaga;Europa;Islandia;449,0;4310,0;9,6
2022;6;Málaga;Europa;Italia;10406,0;64517,0;6,2
2022;6;Málaga;Europa;Letonia;1876,0;17447,0;9,3
2022;6;Málaga;Europa;Liechtenstein;295,0;3422,0;11,6
2022;6;Málaga;Europa;Lituania;1065,0;7668,0;7,2
2022;6;Málaga;Europa;Luxemburgo;1631,0;14516,0;8,9
2022;6;Málaga;Europa;Macedonia del Norte;65,0;325,0;5,0
2022;6;Málaga;Europa;Malta;233,0;1911,0;8,2
2022;6;Málaga;Europa;Moldavia;76,0;699,0;9,2
2022;6;Málaga;Europa;Noruega;14286,0;100002,0;7,0
2022;6;Málaga;Europa;Países Bajos;31655,0;256406,0;8,1
2022;6;Málaga;Europa;Polonia;9044,0;71448,0;7,9
2022;6;Málaga;Europa;Portugal;5737,0;32701,0;5,7
